Date,Open,High,Low,Close,Volume,Adj Close
2014-07-03,17.94,18.29,17.915,18.27,5753000,16.783
2014-07-02,18.15,18.18,17.915,17.95,4458700,16.489
2014-07-01,17.90,18.16,17.78,18.135,5668800,16.659
2014-06-30,18.005,18.14,17.85,17.87,5227700,16.415
2014-06-27,18.285,18.285,18.005,18.015,5593800,16.549
2014-06-26,18.31,18.315,18.065,18.22,5285600,16.737
2014-06-25,18.25,18.43,18.13,18.21,7287500,16.728
2014-06-24,19.175,19.255,19.065,19.185,3096100,16.705
2014-06-23,19.145,19.20,18.97,19.105,3356300,16.635
2014-06-20,19.33,19.395,19.055,19.055,7285600,16.592
2014-06-19,19.40,19.445,19.27,19.33,5067200,16.831
2014-06-18,19.30,19.32,19.215,19.25,3100400,16.761
2014-06-17,19.195,19.37,19.155,19.295,4086500,16.801
2014-06-16,19.11,19.21,19.095,19.15,3872600,16.674
2014-06-13,19.195,19.245,19.14,19.20,3023300,16.718
2014-06-12,19.10,19.27,19.07,19.20,3472100,16.718
2014-06-11,19.26,19.28,19.21,19.22,4000600,16.735
2014-06-10,19.24,19.265,19.125,19.265,4002400,16.774
2014-06-09,19.255,19.315,19.065,19.255,3041700,16.766
2014-06-06,19.39,19.40,19.22,19.24,5266700,16.753
2014-06-05,19.38,19.475,19.195,19.315,5409900,16.818
2014-06-04,19.225,19.355,19.10,19.30,2851700,16.805
2014-06-03,19.41,19.465,19.225,19.265,3730500,16.774
2014-06-02,19.29,19.44,19.245,19.405,4828800,16.896
2014-05-30,19.23,19.305,19.18,19.24,4460700,16.753
2014-05-29,19.12,19.295,19.10,19.285,3180600,16.792
2014-05-28,19.215,19.25,19.05,19.145,2918100,16.67
2014-05-27,19.135,19.26,19.12,19.18,2405800,16.70
2014-05-26,19.08,19.16,19.01,19.16,1804800,16.683
2014-05-23,19.07,19.125,18.93,19.03,2983100,16.57
2014-05-22,19.20,19.20,18.955,19.05,3817100,16.587
2014-05-21,18.775,19.03,18.74,18.975,4274800,16.522
2014-05-20,18.765,18.90,18.755,18.83,3323000,16.396
2014-05-19,18.65,18.985,18.515,18.90,7994900,16.457
2014-05-16,18.695,18.72,18.435,18.65,8321200,16.239
2014-05-15,19.185,19.25,18.72,18.76,6381600,16.335
2014-05-14,18.915,19.01,18.84,18.935,4104700,16.487
